序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource,Score
1120,#杜甫版成都火了# 来来来！推荐更多成都诗句，将获重磅大奖!参与办法见右边→_→//@每日经济新闻: 【荐成都诗词 获800元大奖】参与办法：①写出MV中成都元素；②推荐你认为最好的成都诗词； 以上方式任选其一，评论MV微博转发@ 3个好友。评论点赞最多粉丝，获800元购物卡。, 8月25日 12:52,26,4,5572,搜狗高速浏览器,FiIE8aOuU,0,1653,-1438,2,0.5703976347473263
1121,【芋圆仙草冻】#美食成都#夏末初秋最适合吃芋圆，凉凉的但不会太冰，也不会太甜，做起来也很简单，吃完整个人都平静了～（日食记）L日食记的秒拍视频 ????????, 8月25日 12:28,1406,509,2189,搜狗高速浏览器,FiIum3J8O,0,1654,-1439,2,0.6539123736837208
1122,【@成都气象 发布暴雨天气消息】#住在成都#成都市气象台2017年8月25日07时40分发布第12号重要天气消息：受偏南暖湿气流和高原切变共同影响，预计25日白天开始未来24小时内我市有一次分散性的雷雨天气过程，雨量中雨到大雨，我市西部、南部部分地方有暴雨，个别地方雨量可达100毫米以上，雷雨时伴有6级 ????????...展开全文c, 8月25日 12:00,9,31,7,搜狗高速浏览器,FiIiShtZD,0,1655,-1440,2,0.780619115992248
1123,【四川确定首批10位历史名人 每位都要建博物馆】#连线四川#四川历史名人文化传承创新工程正式实施后，首批10位四川历史名人名单已经出炉。从四川省文化厅获悉，这10位历史文化名人每位都要建立博物馆（纪念馆）。其中诸葛亮、武则天、李白、杜甫、苏轼、杨慎6人已分别建有博物馆，大禹、李冰、落 ????????...展开全文c, 8月25日 11:38,51,50,24,搜狗高速浏览器,FiI9X4Vd0,0,1656,-1441,2,0.7417714826777876
1124,【成都旅客注意：途经内六线多趟旅客列车运行秩序调整】#交通出行#从@西南铁路 获悉，8月25日2时32分，因云南省大关县境内发生持续强降雨，内六线沙沙坡站内横江7号大桥因横江水位超警戒值，导致内六线中断行车。为确保列车运行安全，成都铁路局立即启动应急预案，下令封锁区间，扣停在途列车，组织人 ????????...展开全文c, 8月25日 11:06,28,10,6,搜狗高速浏览器,FiHXjbplL,0,1657,-1442,2,0.7683984985882639
1125,【天府新区三大湿地公园带你览尽奇妙景观】#成都增绿十条#作为国家级新区的成都天府新区直管区，从诞生之日起就很好秉承了生态保护和科学规划的先进理念。新区到底有哪些“湿地公园”，小布带你发现“身边的一抹绿”。①兴隆湖，“仙气”姿态十足，8160米环湖路为市民散步好去处；②天府公园，曼妙夏景 ????????...展开全文c, 8月25日 10:41,37,8,30,搜狗高速浏览器,FiHMMoPJD,0,1658,-1443,2,0.7136955724383295
1126,【成都正式成为“世界文化名城论坛成员城市”】#川港澳合作周#继去年成都名列中国十大古都之后，昨日，在举办于香港的“天府成都 文创未来”成都建设国家中心城市西部文创中心专场活动上，世界文化名城论坛主席特别代表宣布，成都正式成为“世界文化名城论坛成员城市”，成为第34个加入世界文化名城论 ????????...展开全文c, 8月25日 10:13,84,42,57,搜狗高速浏览器,FiHBr98Pf,0,1659,-1444,2,0.7003826131649911
1127,#四川省政府常务会#省政府召开第154次常务会议，原则通过川陕革命老区综合改革试验总体方案。, 8月25日 09:48,10,2,8,搜狗高速浏览器,FiHrCoLOT,0,1660,-1445,2,0.6704693235804737
1128,【10月开通 成都14小时50分直飞美国纽约】#国际成都#昨日，从海南航空新闻发布会上获悉，海南航空将于10月26日正式开通成都直飞纽约航线，成都市民梦想的“东进西出”不转机的旅行模式将成现实。成都直飞纽约航线，为每周往返各两班，成都-纽约航线是成都第一条直飞美国东海岸的航线，也是继美联航直飞 ????????...展开全文c, 8月25日 09:25,43,45,47,搜狗高速浏览器,FiHij3RuB,0,1661,-1446,2,0.7124263359279186
1129,【17个心理学小技巧 告别小纠结！】#生活服务#①想知道谁跟谁关系更好？一群人一起笑时，人们会跟最亲近的人眼神交流。②早晨的闹铃也难叫醒你？大叫耶耶耶！③觉得愤怒？用镜子就能控制情绪。④记住别人的名字，让人们觉得自己是特别的，印象分get！…17个心理学小技巧↓↓ ??????@人民网 ????????, 8月25日 08:59,48,7,9,iPhone 6,FiH7BBW8F,0,1662,-1447,2,0.755827611274615
1130,【截止今晨7时，成都主城区空气质量 优】#空气质量#@成都环保 说，根据成都市环境空气质量实时监测显示，截止时间8月25日7时主城区空气质量指数类别 优 空气质量实时数据详见O网页链接 ????????, 8月25日 08:26,7,4,7,iPhone 6,FiGUk7qn6,0,1663,-1448,2,0.6449661234250516
1131,【软毛、硬毛？一把好牙刷的5个标准】#气象与生活#①刷头短而窄。不宜留下清洁死角。②刷毛软硬适中。硬毛对牙齿磨损较大。③刷毛尖经过处理。刷毛圆滑处理过。④刷毛排列合理。刷毛2~4排，每排5~12束。⑤刷柄有防滑设计，与刷头有一定角度。 ??????@生命时报, 8月25日 07:58,5,7,17,iPhone 6,FiGIOvmBw,0,1664,-1449,2,0.7081614851009399
1132,【凉爽天终于来啦 气温回归二字头】#早安成都#猫宁~窗外的雨声渐渐小了，小伙伴们换季时不要生病啦！包包里的雨伞也要备着！@成都气象 说，今天白天降雨还将继续，雨量中雨，西南部可能达到大雨到暴雨量级，雨后气温回落明显，最高28℃。【今日尾号限行5、0】 ????????, 8月25日 07:32,18,25,17,iPhone 6,FiGymsQGS,0,1665,-1450,2,0.7837025573385805
1133,#晚安成都#任何事情都应该去尝试一下，因为你无法知道，什么样的事或者什么样的人将会改变你的一生。 ??????via思想聚焦 ????????, 8月24日 23:07,33,14,70,iPhone 6s,FiDfqjN1M,0,1666,-1451,2,0.7422003899334968
1134,【睡前2分钟瑜伽，让你28天就瘦下来[推荐]】#生活服务#超简单的一套瑜伽动作，不仅助你减脂瘦身，提高睡眠质量，还可缓解痛经。转给睡眠不好和想减肉的她！L人民日报的秒拍视频 @全球健身中心 ?????? ????????, 8月24日 22:32,88,8,48,iPhone 6s,FiD165PUX,0,1667,-1452,2,0.6796804048676491
1135,【摆放多米诺牌的神器 看大神如何DIY多米诺自动摆牌机】#网事聚焦#原来多米诺不光推着爽，连摆放都让人看的停不下来～via胡椒视频 L胡椒视频的秒拍视频 ?????? ????????, 8月24日 21:58,51,25,108,iPhone 6s,FiCNdl1Oi,0,1668,-1453,2,0.5864406816505046
1136,【超暖～小妹妹每天等哥哥放学回家，抱抱】#网事聚焦#哥哥去上学啦，妹妹每天守在家门口等哥哥放学回家，老远看到校车就挥手，哥哥一下车就冲上去拥抱。没错，这是别人家的妹妹。@偶买噶视频?? L全球视频大魔王的秒拍视频 ????????, 8月24日 21:15,28,25,83,微博 weibo.com,FiCvCDcNZ,0,1669,-1454,2,0.6629382504494339
1137,【成都巷巷美食盘点 你翻过哪家的牌】#美食成都#再也不用随便吃顿饭就是一两百了，成都这些人均十几、二十块的美食让你胀憨在街上~via运动路标 ????????, 8月24日 20:40,87,20,56,微博 weibo.com,FiChpqW1G,0,1670,-1455,2,0.7653121875341684
1138,【独家专访！四川省成都市委书记范锐平：环境问题必须治标与治本相结合】#住在成都#为解决成都市民的“心肺之患”，一场蓝天保卫战已经在四川打响。成都平原的大气污染治理被列为2017年四川环保“一号工程”，大气污染防治“650”工程、“成都治霾十条”“成都治堵十条”“成都治水十条”“成都增绿十 ????????...展开全文c, 8月24日 20:16,17,87,19,iPhone 6s,FiC81lfRn,0,1671,-1456,2,0.7386417485443503
1139,#网事聚焦#第一次坐车出门的猫咪，看到车外风景时的反应……猫咪：朕的江山这么大？图by中国新闻周刊 ???? ????????, 8月24日 20:01,12,28,38,微博 weibo.com,FiC1Aq9NM,0,1672,-1457,2,0.6900924294211715
1140,【天府成都 文创未来】#川港澳合作周#作为“川港澳合作周”活动之一，今日上午，成都建设国家西部文创中心专场活动将在香港举行。本次活动旨在以香港为支点，面向港澳乃至全球文化名流、知名文创企业、文创机构及投资人等，搭建文创领域交流合作平台，将成都建设国家西部文创中心、世界旅游目的地城市 ????????...展开全文c, 8月24日 19:40,7,4,11,微博 weibo.com,FiBT46sqA,0,1673,-1458,2,0.662627195339039
1141,#蓉平热点#【天府之国与东方之珠 一经相遇 气象万千】8月22日，“川港澳合作周”以“走进香港暨一带一路国际合作四川推介会”打响头炮，首日即签下26个合作项目，签约金额达204亿美元。签单多少、金额多大还是其次，重要的是其中传递的四川开放的态度、发展的决心，以及双方共推“一带一路”建设、开创 ????????...展开全文c, 8月24日 19:20,8,2,12,微博 weibo.com,FiBKWzEOM,0,1674,-1459,2,0.7854040439386367
1142,#博闻广记#拒绝僵硬姿势，2分钟get拍照的正确pose！马住！速速学起来~（via.如画颜容）L人民日报的秒拍视频 ????????, 8月24日 18:45,32,7,21,微博 weibo.com,FiBwK3OH1,0,1675,-1460,2,0.6882838917512
1143,【晚饭吃太晚最伤身体】#生活服务#解放军309医院营养科主任左小霞提醒，最佳吃饭时间是早餐7点，午餐12:30，晚餐18:30，最晚不超19点。吃得太晚，则可能带来：1、肥胖。2、增加中风几率。3、胃癌风险高。4、影响睡眠。5、结石病高发。6、情绪失控。你几点吃晚饭？ 据@生命时报 ????????, 8月24日 18:15,26,29,16,微博 weibo.com,FiBkz0QI0,0,1676,-1461,2,0.7170077963425814
1144,【又一大波家常面做法来袭，一个月不重样】#美食成都#成天不知道吃什么？那就来碗面条吧！一天一款，一个月都吃不腻。收藏起来，慢慢做！（via女人爱美食） ????????, 8月24日 17:35,76,15,50,搜狗高速浏览器,FiB4HCzEP,0,1677,-1462,2,0.6779155701669306
1145,#住在成都#马上要开学了，评论里说说你是哪个学校的，万一就遇到校友了呢！ ????????图据@人民网 ????????, 8月24日 16:58,2,139,20,搜狗高速浏览器,FiAPmqV7T,0,1678,-1463,2,0.6615339132770449
1146,#秒拍成都#热了你这么久，@成都武侯祠 决定还你清凉。走，去打卡～（via@小喵喵是叶子） ????????, 8月24日 16:30,13,10,28,微博 weibo.com,FiADWpFqG,0,1679,-1464,2,0.7432638398132325
1147,#住在成都#为什么大熊猫又叫滚滚？你这不是明知故问吗？你们说，阔不阔耐~图据@ipanda熊猫频道 ????????, 8月24日 16:02,36,27,47,搜狗高速浏览器,FiAsJqRlE,0,1680,-1465,2,0.7460033679581284
1148,【中国PPP基金首期合作支持资金不低于100亿元人民币，计划于2018年底前落地完毕】#现在发布#新闻发布会上中国PPP基金投资总监范永芳透露，中国PPP基金与成都市政府签署的《深化PPP项目合作备忘录》，准备以“一揽子支持计划”的方式开展合作，合作共涉及项目86个，投资总额约7625亿元。成都将获得首期 ????????...展开全文c, 8月24日 15:34,12,4,2,搜狗高速浏览器,FiAhesdsh,0,1681,-1466,2,0.7124239112754316
1149,【践行“东进”战略 金堂筛选出6个PPP项目重点推介】#现在发布#成都市政府新闻办公室“2017年成都市PPP项目推介及与中国PPP基金深化合作”新闻发布会上金堂县副县长黄朔介绍，金堂未来五年拟实施的重大项目近500个，计划总投资1200亿元以上，其中淮洲新城基础设施PPP项目、淮州新城公建配套PPP项目、淮 ????????...展开全文c, 8月24日 15:26,16,7,10,搜狗高速浏览器,FiAdYBNJy,0,1682,-1467,2,0.6788315974360108
1150,【成华大道等4条城市骨干路网列入改造】#现在发布#市建委推荐的“中优城市快速路及主干路改造”项目包含4条道路。其中，快速路改造有成华大道和武侯大道两条道路。成华大道改造工程，起于三环路，止于四环路，道路长约5.3公里，投资约14亿元；武侯大道改造工程，起于二环路止于四环路，道路长约8.2公里 ????????...展开全文c, 8月24日 15:09,24,20,15,搜狗高速浏览器,FiA7fpQan,0,1683,-1468,2,0.6856339524764865
1151,【2017年成都市政府与社会资本合作（PPP）市建委重点荐出“锦城绿道”等4个项目】#现在发布#成都市政府新闻办公室“2017年成都市PPP项目推介及与中国PPP基金深化合作”新闻发布会上市建委副主任屈军重点推荐了“锦城绿道”、“成都文化中心”、中心城区“宜居水岸”及“中优城市快速路及主干路改造”四 ????????...展开全文c, 8月24日 14:59,16,6,5,搜狗高速浏览器,FiA3lEt8S,0,1684,-1469,2,0.664918020122245
1152,【引入中国PPP基金 成都成为国内城市与中国PPP基金深度合作的“首例样本”】#现在发布#今天成都市政府新闻办公室召开“2017年成都市PPP项目推介及与中国PPP基金深化合作”新闻发布会。市发改委副主任冯劲夫介绍，全市推介项目共78个，总投资3208亿元，市本级项目16个，区（市）县项目62个。为落实全市 ????????...展开全文c, 8月24日 14:45,12,3,4,搜狗高速浏览器,FizXkqQRS,0,1685,-1470,2,0.6931029258522242
1153,【九寨沟震后实地航拍：瑶池碧水依在，翠海叠瀑归来】#四川九寨沟县7.0级地震#8月8日，九寨沟县发生地震，五花海、诺日朗瀑布受损，其余海子一度妆容黯淡。地震两周后，省地矿局华地公司工作人员对景区进行地质灾害排查工作，发现景区内“瑶池碧水依在，翠海叠瀑归来”，大部分海子恢复了碧蓝，瀑 ????????...展开全文c, 8月24日 14:05,64,36,96,微博 weibo.com,FizH5rypT,1,1686,174,2,0.7532552648209184
1154,#生活服务#动物集来了！教你用一个圆画各种动物～????手绘: @V子哟L画视频的秒拍视频 ????????, 8月24日 13:38,68,7,50,搜狗高速浏览器,FizwlpKo5,0,1687,-1471,2,0.53555829067263
1155,#网事聚焦#这些微博号画风太清奇了，哈哈哈哈哈哈……大家还知道哪些，欢迎来留言~~@中国新闻网 ????????, 8月24日 13:16,121,30,323,搜狗高速浏览器,Fiznp41nl,0,1688,-1472,2,0.6694462447551339
1156,【雨水阵风拂去闷热】#成都午间天气#晨间的阵雨，舒爽的上午，11时我市均温为24.6℃。@成都气象 说，午后依旧有分散性阵雨，西部南部局部地方大雨到暴雨，最高气温31℃。夜间，雨水裹挟雷电侵袭，雷雨时伴有短时阵性大风，请注意防范。 ????????, 8月24日 12:48,7,2,6,iPhone 6,FizcdfInL,0,1689,-1473,2,0.7861652032272517
1157,【小巷子里的惊艳 超好吃的钵钵鸡！】#美食成都#成都的小街小巷从来都不缺惊喜，比如转角就能寻觅到淋上一层红油或藤椒的钵钵鸡，撒上些许芝麻，让人食欲大开。来上几串牛肉、无骨凤爪、豆皮、莴笋，再添作一碗鸡汤饭，所有忙碌与疲惫都烟消云散… 8家钵钵鸡肉测攻略，马住吃起！ ?????? ????????...展开全文c, 8月24日 12:21,29,17,20,搜狗高速浏览器,Fiz14FJas,0,1690,-1474,2,0.7438179657624513
1158,【未来五年 成都要构建全市15分钟基本公共服务圈】#住在成都#23日，市发改委消息，由市发改委牵头制定的《成都市基本公共服务均等化“十三五”规划》日前已正式印发。未来五年，成都市要构建全市15分钟基本公共服务圈。①实施中心城区及重点城镇公办幼儿园建设攻坚计划，义务教育消除大班额专项计划。 ????????...??查看图片展开全文c, 8月24日 11:53,43,16,28,搜狗高速浏览器,FiyPIeyOj,0,1691,-1475,2,0.7307659294148684
1159,【666！军师联盟之文创大计】8月24日，#川港澳合作周#成都建设国家西部文创中心专场活动在香港举行，内容丰富，名流云集。成都真诚向香港、向全世界发出邀请，携手蓉城，共赴明天，成都许你一个美好未来。这一活动通过时光隧道，吸引了三国时期诸葛亮、鲁肃、杨修、司马懿等几位文创大咖，形成军 ????????...展开全文c, 8月24日 11:26,15,7,7,搜狗高速浏览器,FiyEQd1cA,0,1692,-1476,2,0.7341854600178599
1160,【一图读懂：#川港澳合作周#成都建设国家西部文创中心专场活动】“天府成都 文创未来”成都建设国家中心城市西部文创中心专场活动今日在香港举行。以“创新创造、优雅时尚、乐观包容、友善公益”16个字为注脚的天府文化，正让世界更懂成都。本次活动以香港为支点，搭建文创领域交流合作平台，将成都建 ????????...展开全文c, 8月24日 10:59,43,11,8,搜狗高速浏览器,FiytDcg86,0,1693,-1477,2,0.6734290327467769
1161,【四川高校花式迎新：网上选宿舍房、APP报到】#住在成都#开学季在即，四川各高校新生近期已陆续在网上开始填报信息。为了让新生们迅速适应大学生活，四川高校纷纷在微信微博上发出“新生礼包”。今年，@四川大学 新生到学校报到将通过APP完成入学手续办理，新生在入学前在APP上完成个人信息采集 ????????...展开全文c, 8月24日 10:33,248,2052,2607,搜狗高速浏览器,FiyjfjABi,0,1694,-1478,2,0.6804011019142717
1162,【手绘成都水系 讲述河流故事 建“河流健康积分卡”】#成都治水十条# “上面是都江堰，再下来就是梁家堰，从梁家堰起水，再往下就分流了……”青羊区苏坡街道清源社区的活动室内，20多位社区居民和耄耋老人邓代华一起手绘成都水系。大家一边听邓代华讲述关于成都的河流故事，一边拿起彩铅在纸上勾勒蜿 ????????...展开全文c, 8月24日 10:07,26,10,7,搜狗高速浏览器,Fiy8EsHAK,0,1695,-1479,2,0.7495850742434561
1163,【2022年成都全面建成西部金融中心】#川港澳合作周#世界向东，中国向西。8月22日，“成都建设国家西部金融中心专场活动”在香港举行。成都与香港，一个是国际金融中心，一个是正在建设的国家西部金融中心，正在碰撞出奇妙的火花——活动现场，16项蓉港金融合作项目签约，包括成都与香港贸发局、港交所 ????????...展开全文c, 8月24日 09:30,118,80,38,搜狗高速浏览器,FixTQlU4I,0,1696,-1480,2,0.7369380440337508
1164,【夜猫族注意了！睡眠不足6小时危害如酗酒】#生活服务#加拿大一项研究显示，睡眠不足6小时危害如酗酒，会对人体尤其是大脑造成长期危害。医学证明，熬夜可能诱发心血管病、提高患癌风险、引发失眠抑郁…你还敢熬夜吗？如何改善睡眠？最佳的睡眠时长是多少？转存！你昨晚睡了几小时？ ?????? ????????...展开全文c, 8月24日 09:01,74,15,14,iPhone 6,FixHYfMaf,0,1697,-1481,2,0.6506682929152996
1165,【截止今晨7时，成都主城区空气质量 优】#空气质量#@成都环保 说，根据成都市环境空气质量实时监测显示，截止时间8月24日7时主城区空气质量指数类别 优 空气质量实时数据详见O网页链接 ????????, 8月24日 08:30,10,1,3,iPhone 6,Fixv70f14,0,1698,-1482,2,0.6452447257851959
1166,【有些食物放冰箱坏得更快】#气象与生活# ①香蕉：把香蕉放在12℃以下的地方贮存，会使香蕉发黑腐烂。②鲜荔枝：将荔枝在0℃的环境中放置一天，即会使其表皮变黑，果肉变味。③西红柿：西红柿经低温冷冻后，肉质呈水泡状，显得软烂，或出现散裂现象，表面有黑斑，煮不熟，无鲜味。@新浪健康, 8月24日 08:04,6,8,15,iPhone 6,FixkUmh9c,0,1699,-1483,2,0.7248617063611149
1167,【这几天的主题就是--下雨】#早安成都#处暑过后，秋意渐浓~雨水也逐渐多咯！@成都气象 说，今天白天多云间阴，有分散性阵雨或雷雨，南部局地有大雨到暴雨，雷雨时伴有短时阵性大风，气温24～31℃；晚上有中到大雨，东部、南部局部有暴雨。【今日限行尾号4、9】?? ????????, 8月24日 07:38,9,20,15,iPhone 6,Fixa9qkid,0,1700,-1484,2,0.8026647417242676
1168,#晚安成都#你为什么这么晚还没睡？ ?????? ????????, 8月23日 23:14,8,129,27,iPhone 6s,FitRAkmQW,0,1701,-1485,2,0.5524773117936701
1169,【你是天使】#网事聚焦#6岁小男孩Caleb遭遇了一场严重车祸，多处粉碎性骨折，大脑也受到了创伤…就在父母痛心绝望的时候，Caleb遇到了改变他一生的治疗犬Colonel。狗狗的治愈力超强，小男孩一天天好转起来…L人人视频app的秒拍视频 @人人视频 ?????? ????????, 8月23日 22:47,44,14,83,iPhone 6s,FitGti8c7,0,1702,-1486,2,0.6571148580139279
1170,#网事聚焦#猫可以给你展示100种喝水的方式，但请放心，没有一种是正常的。via 鸸鹋动物园 ????????, 8月23日 21:57,31,29,48,微博 weibo.com,Fitmb3X2A,0,1703,-1487,2,0.7158803367672115
1171,【孝顺女婿！照顾115岁岳母40年，背她走路为她磨豆花】#连线四川#四川宜宾，有这样一位“孝顺女婿”，四十年前岳母唯一儿子去世，他就把岳母接到家中照顾，四十年里一家人悉心照顾起居，每周都要给她磨豆花吃：“她想吃的，都买给她吃，如果等她不在了，做再多饭都没用了。”@梨视频????????????...展开全文c, 8月23日 21:53,47,35,208,iPhone 6s,FitkVDMnR,0,1704,-1488,2,0.7712063316992969
1172,#蓉平热点#【成都连开八场“产业新政”??新闻发布会说明了什么？】7月2日，成都召开全市产业发展大会，高调宣誓，将创新要素供给，培育产业生态，构建具有国际竞争力和区域带动力的现代产业体系。接下来，从7月12日到8月10日，不足一个月内，成都紧锣密鼓连开八场新闻发布会，接连发布了包括“产业新政5 ????????...展开全文c, 8月23日 21:30,7,2,2,iPhone 6s,Fitbv8vzw,0,1705,-1489,2,0.7311477644659579
1173,#网事聚焦#你经常点外卖吗？每个月会点几次外卖？图据 二手闲 ????????, 8月23日 21:23,16,18,24,微博 weibo.com,Fit8njZSJ,0,1706,-1490,2,0.6304622474161238
1174,【央广时评：为成都治污法理兼施点赞】#住在成都#从今年3月开始，成都市掀起“散乱污”企业整治风暴。如何避免因整治“散乱污”企业而出现大面积失业？早在整治之初，成都就把关闭与再就业同步考量，截至目前，已有超过一半的关闭企业员工实现了再就业。O央广时评：为成都治污法理兼施点赞 ????????, 8月23日 21:10,15,66,12,iPhone 6s,Fit376MaM,0,1707,-1491,2,0.738016087522909
1175,#网事聚焦#宠物们为了混饭吃不得不掌握这门绝技~~小动物装死大合集个个都是戏精via 油管搬运工 L秒拍视频 ????????, 8月23日 20:48,25,8,30,微博 weibo.com,FisUasm6h,0,1708,-1492,2,0.6859140092726648
1176,【甩掉肚腩真的不难 腰腹部赘肉速减教程get起来！】#生活服务#你是不是吃完饭又瘫在沙发上啦？休息一下，就来做做这6个简单的徒手虐腹运动，专减腰腹肥肉！每个动作30-60秒，重复2-3组，两周见效！via 人人视频 L人人视频app的秒拍视频 ????????, 8月23日 20:15,70,1,35,微博 weibo.com,FisGM9PsV,0,1709,-1493,2,0.6959037966804653
1177,【熊猫“宝宝”已成精过生护食还偷笑】#住在成都#今天是中国大熊猫保护研究中心都江堰基地海归大熊猫“宝宝”的4岁生日。万千期待中宝宝踏花径而来，首先扫荡蛋糕上的胡萝卜、梨子、葡萄，留下100斤重的竹子蛋糕扭头偷笑。你这是已成精的节奏 L成都发布的秒拍视频 ????????, 8月23日 19:41,11,9,39,微博 weibo.com,FissY3KSi,0,1710,-1494,2,0.7702381277327984
1178,【这份儿童性教育书单，转给更多家庭！[推荐]】#博闻广记#近期发生的多起猥亵儿童事件，让性侵儿童话题备受关注，也给家长们敲响警钟：你有对孩子做正确的性教育吗？对于儿童性侵害，我们有多无知，孩子就有多危险！别再谈“性”色变，跟孩子一起读一读这些书↓↓让孩子更懂得自我保护。转给更多父母！ ????????...展开全文c, 8月23日 19:07,34,评论,21,微博 weibo.com,FisfaBDL1,0,1711,-1495,2,0.6807226367040575
1179,【成都交警铁骑队亮相会展中心 呼吁礼让行人文明出行】#斑马线车让人#今天上午，在成都高新区天府大道和天华路交汇路口，成都交警开展斑马线“礼让行人”活动。活动现场，高大帅气的成都交警铁骑队队员吸引了不少市民的目光。除了模特志愿者和铁骑队以外，@谭乔 谭警官也在现场为“礼让斑马线”的司机 ????????...展开全文c, 8月23日 18:33,15,39,37,微博 weibo.com,Fis1na2wA,0,1712,-1496,2,0.7504809013872593
1180,【成都这些好吃的好玩的地方 你都去过吗？】#住在成都#成都有哪些能让外地游客耳目一新的地方？除了武侯祠锦里，宽窄巷子，大熊猫基地，还有这么多好玩的好吃的地方！跟着网友的脚步，来成都逛吃逛吃。爱上一座城很简单，这些↓↓就是理由！via 大众音乐榜 ????????, 8月23日 17:59,79,29,108,微博 weibo.com,FirNzplQD,0,1713,-1497,2,0.7209551529857368
1181,【盘点明星最爱光顾的成都美食店】#美食成都#前几天播出的极限挑战中，极限男人帮一路逛吃成都，看的半夜点了个夜宵！其实明星些也爱成都美食，跟着明星吃吃吃，连冰冰女神、wuli凡凡、田馥甄……都把持不住的明星美食榜，你去几家打过卡？据@成都美食 ????????, 8月23日 17:25,43,36,69,微博 weibo.com,FirzLD5zL,0,1714,-1498,2,0.6556825183280408
1182,【地铁4号线车厢内 小女孩蹲地擦水渍走红】#住在成都#8月21日，网友@hh嗷hh 在成都地铁4号线车厢内拍到：一个身穿粉色连衣裙的小女孩，拿着纸巾，蹲在车厢内认真地擦拭地上的水渍。据了解，小女孩是不小心把水洒在地上，为了不让其他乘客滑倒，自己拿纸一遍遍地将地上的水擦干净。网友：真是小 ????????...展开全文c, 8月23日 16:51,15,33,134,微博 weibo.com,FirlYf6Ti,0,1715,-1499,2,0.7663749670589716
1183,【六集政论专题片《法治中国》第六集今晚播出】#法治中国#第六集《全民守法》全面展示党的十八大以来的普法成果。以习近平同志为核心的党中央在尊法、学法、立规矩、守规矩方面率先垂范；老百姓打“民告官”的官司，在法庭上直面政府机关负责人，长期以来行政诉讼“告官不见官”的尴尬局面渐成过去；除 ????????...展开全文c, 8月23日 16:17,13,评论,7,微博 weibo.com,Fir8auu3D,0,1716,-1500,2,0.7660021537241191
1184,【详解成都治堵十条】#成都治堵十条#“智慧治堵、工程治堵、依法治堵”，自从“治堵十条”出台以来，我们可以看到出行的状况得到大幅度的改善，可是你知道这“十条”的内容都是什么吗？看@成都共青团 今天给你一一解读，一起让文明出行、绿色出行蔚然成风。 ????????, 8月23日 15:43,36,16,7,微博 weibo.com,FiqUn5KqU,0,1717,-1501,2,0.706121795571655
1185,【为美丽中国典范城市增添一抹青春绿色 详解成都治水十条】自从#成都治水十条#出台以来，成都已持续改善水环境质量为核心，以河长制管理为抓手，以重拳治水为着力点，不断改善我们周围的水环境。相信经过不断地努力，到2022年“水润天府”的盛景一定会初步显现。@成都共青团 ????????, 8月23日 15:14,22,9,6,微博 weibo.com,FiqIBbtHd,0,1718,-1502,2,0.7755555640072376
1186,【大熊猫“宝宝”回国后第一个生日 生日快乐！】#住在成都#8月23日上午，海归大熊猫“宝宝”在中国大熊猫保护研究中心都江堰基地迎来了它的四岁生日，这也是她回国后的第一个生日。“宝宝”的生日蛋糕和以往的冰蛋糕不同，蛋糕由竹子做基底，用胡萝卜、窝窝头、苹果等进行装饰，重达100多斤。“ ????????...展开全文c, 8月23日 14:45,20,17,52,微博 weibo.com,FiqwPjOaw,0,1719,-1503,2,0.7178882526237667
1187,【本周末少儿曲艺大赛将再战彭州】#住在成都#第八届全国优秀少儿曲艺节目展演四川赛区选拔赛暨第四届四川省少儿曲艺大赛，将于8月26日—8月27日，在彭州市宝山文化中心举行。本届大赛共有来自全省各地市州46支队伍、300余名少儿曲艺选手参加，他们将在3场比赛中展开激烈的才艺比拼，决出最 ????????...展开全文c, 8月23日 14:16,18,4,9,iPhone 6s,Fiqlqelj6,0,1720,-1504,2,0.6928348734407275
1188,【肚子肥肉太多？试试这套快速瘦腹操[推荐]】#博闻广记#几个居家必备的徒手运动，专减腰腹肥肉。动作超简单，每个动作15-30秒，重复2-3组！拿去练两周，肚子的上的肥肉就会变少。L人民日报的秒拍视频 马住练起！@全球健身中心 ?????? ????????, 8月23日 13:39,73,25,53,iPhone 6s,Fiq6hFVFj,0,1721,-1505,2,0.7553308645363599
1189,【处暑养生，名中医开出一张“祛湿食谱”】#生活服务#8月23日是处暑节气，《月令七十二候集解》说：“处，止也，暑气至此而止矣。”此时，暑气将尽，天气明显转凉。又因处暑后，人们常受“秋乏”“秋愁”“秋燥”“秋老虎”等困扰。@生命时报 邀请中医专家，给处暑养生划重点。 ?????? ????????, 8月23日 13:15,36,9,16,iPhone 6s,FipWi6Gkv,0,1722,-1506,2,0.7889089915378094
1190,【专访成都市委书记范锐平：利用香港金融、文创节点优势 推动成都“引进来、走出去”】#川港澳合作周#8月21日起，“川港澳合作周”在香港开启。根据安排，成都在香港分别举行“建设国家西部金融中心专场推介会”与“建设国家西部文创中心专场推介会”。四川省委常委、成都市委书记范锐平作为主推介人， ????????...展开全文c, 8月23日 12:48,23,4,12,iPhone 6s,FipLtiuVC,0,1723,-1507,2,0.6949656381567717
